pole_id,height_id,red_hist_mean,red_hist_std,green_hist_mean,green_hist_std,blue_hist_mean,blue_hist_std
0,0,33.83132,4.910393,27.074684,1.2027282,24.031084,1.757202
0,1,36.407234,5.3822417,27.597378,1.6154957,24.814625,1.2576166
0,2,38.561356,7.050915,28.109621,2.4761946,25.678293,1.7319773
0,3,41.357723,8.879066,29.215504,3.156846,26.870783,1.3632871
0,4,43.07284,9.430492,28.623856,2.1921058,26.99426,0.98685676
0,5,43.837597,8.636793,29.036674,1.5581362,27.999174,1.0976102
0,6,45.37586,7.9860864,30.689672,1.2653972,29.099306,0.7002883
0,7,45.497925,6.26035,32.0078,1.608446,29.463213,1.2937179
0,8,46.990273,5.333077,34.110546,2.0062838,30.691156,1.6635482
0,9,43.623898,6.5060964,32.438732,3.0487907,28.479677,2.4050188
30,0,65.89573,11.185783,44.859337,7.121317,30.675453,5.6324267
30,1,76.845436,11.443258,52.575333,7.2707114,37.64723,5.7980843
30,2,86.76425,10.777948,59.378494,6.7683206,43.337383,4.987403
30,3,90.60494,10.681851,61.3475,6.512627,44.90342,5.070777
30,4,98.60953,7.605103,65.9172,5.513134,47.978188,4.94275
30,5,102.028984,7.280182,68.47361,6.172632,50.128136,5.451907
30,6,104.14129,5.826769,71.74048,5.1209373,54.10215,4.546233
30,7,111.80277,6.971787,79.7587,6.858396,61.999855,6.3764944
30,8,113.66292,8.910712,82.04549,8.772322,63.62126,8.27081
30,9,109.409775,7.1655793,78.91812,7.2759275,59.53244,6.902806
41,0,56.01373,5.978241,42.24409,2.7433999,31.238892,3.386127
41,1,59.249977,6.2767982,43.45492,3.0127945,33.089733,3.486267
41,2,61.36044,6.2588315,43.45332,2.8469656,33.707153,2.5737772
41,3,61.140278,7.395854,42.913376,3.7070777,34.289272,2.3780951
41,4,59.065487,6.816268,41.24745,4.5427165,33.378223,3.2046008
41,5,60.171906,5.9021072,41.812923,4.8961034,33.55427,4.0296717
41,6,60.510048,7.150176,40.442627,5.320741,31.70955,3.9113872
41,7,58.368908,7.0821004,40.359962,5.3238235,31.97984,3.9818444
41,8,51.985077,10.715249,38.502262,7.714762,31.193098,5.2603183
41,9,45.237118,9.423525,35.795876,6.130528,29.256748,4.211208
6,0,80.81906,7.0441446,64.8542,6.5207887,46.234043,6.1762605
6,1,89.16111,3.001651,71.54106,3.2169929,53.978992,3.238383
6,2,89.43874,7.154717,68.52985,6.793662,51.54776,6.9521394
6,3,88.78183,9.961753,63.288795,8.279704,45.61478,7.611697
6,4,82.3351,4.556116,50.99709,4.5510178,33.91501,3.9608972
6,5,91.448265,5.470712,52.95665,4.7368016,34.966568,4.1985664
6,6,98.13107,11.098497,58.62823,8.50113,39.988815,6.9110537
6,7,101.02609,11.723014,61.114883,9.081038,42.988472,6.7727747
6,8,95.243866,8.652272,57.960606,6.1042624,40.82968,4.4701138
6,9,93.568756,10.074486,59.749287,8.530657,41.90163,6.105323
5,0,75.76898,4.891577,58.756447,3.9726567,42.094093,5.178381
5,1,81.22488,4.0484076,62.007988,3.625486,46.432117,5.1633806
5,2,81.67811,6.590426,60.091446,5.167524,45.38748,5.6767206
5,3,84.91001,10.283599,59.677902,8.631493,44.33428,7.8482285
5,4,83.54814,11.291459,55.124622,9.372859,39.834686,8.170039
5,5,80.26724,4.933826,47.993603,3.9314673,32.748207,3.5944462
5,6,76.44682,5.5882883,44.72582,3.9064753,30.739784,3.5569618
5,7,80.12558,3.277118,47.849346,2.897988,33.797874,3.1621063
5,8,78.50168,3.3893752,48.910267,2.8395717,34.72531,3.106174
5,9,79.195915,5.9453764,52.963097,4.1531167,37.838905,2.9028504
