pole_id,height_id,red_hist_mean,red_hist_std,green_hist_mean,green_hist_std,blue_hist_mean,blue_hist_std
0,0,33.285507,4.8353643,26.735497,1.2980758,23.705713,1.7729557
0,1,35.829697,5.427175,27.231295,1.6630441,24.409092,1.3080416
0,2,37.949654,7.1350756,27.734688,2.4931078,25.227655,1.8053585
0,3,40.802998,9.133465,28.86669,3.269534,26.450733,1.5118524
0,4,42.525814,9.57547,28.284233,2.337356,26.577112,1.0610551
0,5,43.471317,8.824857,28.742222,1.6024456,27.59171,1.1614484
0,6,44.955284,8.230394,30.336025,1.3349137,28.688032,0.70917535
0,7,45.27872,6.4269786,31.725018,1.6469222,29.200361,1.3050938
0,8,46.623856,5.541791,33.727066,2.020156,30.338097,1.6475606
0,9,43.63773,6.427815,32.529205,2.9760907,28.63628,2.2977397
30,0,66.52634,11.946262,45.52039,7.8387394,31.157686,6.470842
30,1,77.94783,12.180227,53.7877,8.012156,38.667328,6.7044005
30,2,88.33387,11.658127,61.03711,7.479118,44.763565,5.6867623
30,3,92.23469,10.053293,62.978928,6.08798,46.153114,4.7317266
30,4,99.03895,7.577017,66.624954,5.4473896,48.56198,4.943189
30,5,102.62509,6.7386775,69.20424,5.657809,50.673565,4.951945
30,6,105.219406,5.330866,72.88003,4.696057,54.902985,4.357302
30,7,114.39194,5.62316,82.48127,5.3894067,64.270226,4.984129
30,8,117.18055,5.644877,85.6979,5.621392,66.96391,5.3953524
30,9,111.86713,6.438106,81.39316,6.8332796,61.70146,6.627277
41,0,55.872746,5.8125777,42.223976,2.576682,31.127104,3.0734303
41,1,59.10601,6.2012835,43.430996,2.9410434,32.969288,3.3661265
41,2,61.196033,6.418799,43.489677,2.897056,33.62173,2.561137
41,3,60.593872,7.3707438,42.677948,3.6045475,33.95285,2.3321447
41,4,58.708096,7.083217,41.13118,4.7002144,33.15419,3.3183255
41,5,59.70007,5.7881856,41.829178,4.74181,33.44647,3.872905
41,6,59.882343,7.235501,40.143597,5.2426276,31.342031,3.8759072
41,7,58.72606,7.2103615,40.626743,5.438881,32.032436,4.063626
41,8,51.939384,10.591656,38.43358,7.6323676,31.069927,5.205176
41,9,45.864426,9.731524,36.23253,6.3443003,29.500988,4.263591
6,0,83.12236,8.34866,66.99891,7.7156844,48.040817,7.0378165
6,1,91.65211,4.1624217,73.83251,4.0135756,55.828056,3.0036232
6,2,92.26849,6.82507,71.25432,6.438534,53.865612,6.3890104
6,3,90.14149,9.525866,64.7606,8.117007,46.84501,7.416637
6,4,82.77892,4.6274757,51.74118,4.8636136,34.504974,4.2503977
6,5,91.4856,6.112926,53.27102,5.007976,35.220245,4.350355
6,6,98.31428,10.874365,58.90411,8.286142,40.11049,6.6766763
6,7,101.03438,11.788608,61.24864,9.182311,42.965275,6.877435
6,8,95.8313,9.065667,58.351402,6.4224763,41.07631,4.6760297
6,9,93.53698,10.206712,59.519394,8.51927,41.64671,6.1665897
5,0,76.89847,5.636949,59.530293,4.6294203,42.453983,5.79983
5,1,81.57913,4.1359434,62.55212,3.4217353,46.654945,5.115086
5,2,82.039154,6.3947988,60.602333,4.872804,45.659267,5.4404135
5,3,86.61432,9.32579,61.353672,7.58172,45.64703,6.9533353
5,4,83.56541,11.684752,55.736324,9.540997,40.433746,8.32663
5,5,80.48433,4.918766,48.432735,3.9906764,32.997433,3.6522102
5,6,76.05247,5.725339,44.543434,3.996621,30.489609,3.604266
5,7,79.956795,3.0764513,47.70378,2.613312,33.58683,2.8945394
5,8,78.6135,3.629056,48.872265,3.1435854,34.631573,3.4115887
5,9,79.04547,5.7763557,52.69512,4.2054915,37.587193,3.0346212
