pole_id,height_id,gray_hist_mean,gray_hist_std
0,0,26.593433,1.1120911
0,1,27.424942,1.5487036
0,2,28.179272,2.6262705
0,3,29.497242,3.2467926
0,4,29.356304,2.5450723
0,5,30.02997,2.0916026
0,6,31.454224,1.6814852
0,7,32.452267,1.869421
0,8,34.134533,2.1308076
0,9,32.63938,3.0239775
30,0,43.46511,7.8138666
30,1,51.817802,8.0306225
30,2,59.086502,7.4290586
30,3,61.0575,6.0599704
30,4,64.648575,5.4603376
30,5,67.200096,5.573633
30,6,70.95172,4.600224
30,7,80.39984,5.2212887
30,8,83.359436,5.4740295
30,9,78.67389,6.5784655
41,0,40.37362,2.9594235
41,1,41.975075,3.3161123
41,2,42.429264,3.133062
41,3,42.02125,3.558836
41,4,40.65341,4.468903
41,5,41.277153,4.525657
41,6,39.67598,5.0103827
41,7,40.06926,5.159242
41,8,37.744534,7.13286
41,9,35.296696,5.9922366
6,0,63.01972,7.4993825
6,1,70.307816,3.6217325
6,2,68.23165,6.375719
6,3,62.051876,7.9443946
6,4,49.77298,4.608371
6,5,51.738407,4.8486123
6,6,57.390404,8.115428
6,7,59.975586,8.765939
6,8,57.16515,6.146949
6,9,57.80622,7.952239
5,0,56.221542,4.9570312
5,1,59.77968,3.884324
5,2,58.39854,5.086567
5,3,59.310253,7.5180817
5,4,54.037228,9.299299
5,5,47.044228,3.91199
5,6,43.553185,3.9679103
5,7,46.84666,2.5945818
5,8,47.761826,3.1831224
5,9,50.941017,3.9081986
